Date,Open,High,Low,Close,Adj Close,Volume
2021-01-13,198.449997,202.389999,191.809998,198.729996,198.729996,6056300
2021-01-20,201.029999,208.720001,199.289993,199.779999,199.779999,5167100
2021-01-27,200.279999,208.149994,193.750000,207.110001,207.110001,5636000
2021-02-03,207.550003,214.910004,197.649994,200.309998,200.309998,12152200
2021-02-10,202.509995,203.750000,194.449997,195.789993,195.789993,6841400
2021-02-17,194.630005,198.130005,181.110001,185.949997,185.949997,6731100
2021-02-24,184.800003,190.809998,181.929993,188.169998,188.169998,5670900
2021-03-03,188.199997,188.199997,161.330002,168.570007,168.570007,9610400
2021-03-10,170.339996,174.520004,163.000000,173.009995,173.009995,5402800
2021-03-17,171.449997,177.080002,165.500000,173.850006,173.850006,8430600
2021-03-24,174.490005,177.479996,167.110001,177.089996,177.089996,6260200
2021-03-31,177.389999,185.289993,176.509995,184.000000,184.000000,4873900
2021-04-07,184.080002,186.210007,180.550003,182.660004,182.660004,4650500
2021-04-14,183.630005,184.830002,175.899994,177.899994,177.899994,4574200
2021-04-21,176.610001,179.699997,173.380005,174.279999,174.279999,5214900
2021-04-28,175.779999,176.789993,164.210007,167.529999,167.529999,5430500
2021-05-05,168.199997,171.490005,166.100006,167.990005,167.990005,5438300
2021-05-12,166.580002,171.419998,161.699997,167.690002,167.690002,8352400
2021-05-19,171.000000,188.339996,170.789993,184.619995,184.619995,9663700
2021-05-26,185.479996,188.360001,182.529999,182.759995,182.759995,4247700
2021-06-02,181.059998,186.589996,176.039993,184.830002,184.830002,6610900
2021-06-09,184.940002,187.899994,178.039993,178.600006,178.600006,4868900
2021-06-16,177.000000,177.529999,168.679993,174.229996,174.229996,8493100
2021-06-23,173.789993,179.050003,170.130005,178.100006,178.100006,8334000
2021-06-30,177.800003,180.970001,171.630005,174.070007,174.070007,3980300
2021-07-07,174.369995,175.250000,169.179993,173.550003,173.550003,4653100
2021-07-14,173.869995,174.550003,166.610001,170.020004,170.020004,5593900
2021-07-21,170.470001,174.089996,164.630005,167.500000,167.500000,5061500
2021-07-28,168.649994,176.820007,155.399994,159.860001,159.860001,12439600
2021-08-04,161.080002,163.619995,155.710007,159.679993,159.679993,9318400
2021-08-11,161.130005,163.630005,158.279999,163.470001,163.470001,5238600
2021-08-18,163.649994,164.869995,159.410004,163.820007,163.820007,4431800
2021-08-25,164.070007,164.619995,156.619995,161.220001,161.220001,5698300
2021-09-01,162.350006,163.690002,158.089996,159.110001,159.110001,2964000
2021-09-08,159.360001,160.179993,151.389999,152.149994,152.149994,6830700
2021-09-15,152.139999,153.850006,145.600006,145.720001,145.720001,6089300
2021-09-22,145.910004,152.149994,144.580002,149.110001,149.110001,6770800
2021-09-29,148.740005,162.279999,148.500000,162.020004,162.020004,7481900
2021-10-06,161.529999,175.550003,160.470001,171.350006,171.350006,7809100
2021-10-13,171.580002,173.809998,168.460007,172.039993,172.039993,4464600
2021-10-20,172.690002,184.740005,171.520004,182.539993,182.539993,5352000
2021-10-27,182.660004,187.130005,177.500000,183.940002,183.940002,6193300
2021-11-03,181.210007,195.830002,179.600006,186.809998,186.809998,8462500
2021-11-10,186.289993,189.509995,174.820007,179.690002,179.690002,6482700
2021-11-17,178.990005,180.520004,162.210007,165.130005,165.130005,7536900
2021-11-24,164.500000,171.789993,162.470001,165.880005,165.880005,5661400
2021-12-01,165.800003,168.910004,159.500000,167.289993,167.289993,5420900
2021-12-08,166.910004,173.199997,163.350006,167.630005,167.630005,4006200
2021-12-15,167.630005,179.970001,165.720001,179.440002,179.440002,6802600
2021-12-22,179.789993,181.820007,176.360001,179.389999,179.389999,2883400
2021-12-29,179.779999,182.250000,173.550003,181.899994,181.899994,4616500
2022-01-05,181.630005,181.630005,138.190002,148.419998,148.419998,21407600
2022-01-12,149.649994,160.850006,149.410004,154.039993,154.039993,15787300
2022-01-19,155.500000,169.080002,155.199997,158.389999,158.389999,13931800
2022-01-26,159.169998,169.990005,154.259995,160.250000,160.250000,13640600
2022-02-02,159.669998,178.500000,158.389999,172.199997,172.199997,16637500
2022-02-09,173.479996,177.710007,167.009995,168.929993,168.929993,7583000
